"project_id","job_id","language","files","comment","code"
"32928","1727731","SQL","10","0","64"
"32928","1727731","Properties","9","0","19"
"32928","1727731","Markdown","2","0","7"
"32928","1727731","Ignored","49","0","0"
"31832","1728005","C++","4950","600216","2413551"
"31832","1728005","C","4860","502642","1048762"
"31832","1728005","Text","455","0","193642"
"31832","1728005","JSON","70","0","115821"
"31832","1728005","Java","532","21401","54946"
"31832","1728005","SQL","208","6344","25963"
"31832","1728005","Shell Script","82","6244","21087"
"31832","1728005","Perl","65","4585","21040"
"31832","1728005","CMake","174","0","20617"
"31832","1728005","JavaScript","156","2078","11483"
"31832","1728005","XML","38","683","7189"
"31832","1728005","Markdown","18","0","1543"
"31832","1728005","Pascal","22","2937","976"
"31832","1728005","Properties","18","0","923"
"31832","1728005","Python","5","199","683"
"31832","1728005","TSV","1","0","545"
"31832","1728005","HTML","5","77","531"
"31832","1728005","DOS Batch","3","1","509"
"31832","1728005","CSV","5","0","286"
"31832","1728005","PowerShell","1","9","221"
"31832","1728005","Ruby","5","10","192"
"31832","1728005","Embedded Ruby","1","0","160"
"31832","1728005","RSA-RTE Model","2","0","102"
"31832","1728005","Emacs Lisp","1","85","96"
"31832","1728005","Spec rules","2","74","89"
"31832","1728005","NAnt Script","1","0","76"
"31832","1728005","CSS","3","17","44"
"31832","1728005","YAML","2","3","28"
"31832","1728005","Ignored","23508","0","0"
"39973","1728029","JavaScript","9","2315","8440"
"39973","1728029","Python","21","546","2843"
"39973","1728029","HTML","8","0","1429"
"39973","1728029","CSS","4","50","1262"
"39973","1728029","Text","10","0","136"
"39973","1728029","DOS Batch","2","3","48"
"39973","1728029","Markdown","1","0","40"
"39973","1728029","Ignored","15","0","0"
"43634","1728012","C#","115","842","7954"
"43634","1728012",".Net Resource File","3","144","2185"
"43634","1728012",".Net Solution File","1","0","190"
"43634","1728012",".Net Project File","2","0","134"
"43634","1728012","ASP.NET","2","0","95"
"43634","1728012","YAML","2","0","92"
"43634","1728012","PowerShell","3","5","77"
"43634","1728012","Markdown","1","0","16"
"43634","1728012","Ignored","23","0","0"
"45414","1727660","C#","783","14956","94381"
"45414","1727660","Python","131","5459","45644"
"45414","1727660",".Net Resource File","75","3599","16742"
"45414","1727660","SQL","10","27","1469"
"45414","1727660",".Net Project File","17","0","1183"
"45414","1727660","ASP.NET","14","0","777"
"45414","1727660",".Net Solution File","2","0","476"
"45414","1727660","YAML","6","6","387"
"45414","1727660","PowerShell","5","19","377"
"45414","1727660","Text","14","0","206"
"45414","1727660","CSV","1","0","88"
"45414","1727660","Markdown","7","0","78"
"45414","1727660","ANTLR","1","0","24"
"45414","1727660","XML","1","0","10"
"45414","1727660","Ignored","30","0","0"
"32585","1728048","C#","1086","3117","91561"
"32585","1728048",".Net Resource File","4","192","4279"
"32585","1728048",".Net Project File","70","73","2383"
"32585","1728048",".Net Solution File","1","0","511"
"32585","1728048","JSON","2","0","67"
"32585","1728048","PowerShell","2","5","64"
"32585","1728048","YAML","2","10","47"
"32585","1728048","Markdown","2","0","17"
"32585","1728048","ASP.NET","1","0","14"
"32585","1728048","Ignored","4","0","0"
"36411","1727821","Dart","205","201","9128"
"36411","1727821","JSON","16","0","6081"
"36411","1727821","YAML","7","26","540"
"36411","1727821","JavaScript","3","51","287"
"36411","1727821","Markdown","4","0","224"
"36411","1727821","XML","15","42","157"
"36411","1727821","Groovy","3","7","134"
"36411","1727821","HTML","1","15","80"
"36411","1727821","Spec rules","1","0","27"
"36411","1727821","Swift","1","0","14"
"36411","1727821","Properties","2","0","8"
"36411","1727821","Kotlin","1","0","4"
"36411","1727821","C","1","0","1"
"36411","1727821","Text","1","0","1"
"36411","1727821","Ignored","27","0","0"
"32582","1727618","C#","74","39","8257"
"32582","1727618","XML","35","671","3880"
"32582","1727618",".Net Project File","2","0","340"
"32582","1727618",".Net Solution File","1","0","243"
"32582","1727618","YAML","2","1","110"
"32582","1727618","PowerShell","3","5","77"
"32582","1727618","Text","1","0","35"
"32582","1727618","Markdown","1","0","16"
"32582","1727618","ASP.NET","1","0","14"
"32582","1727618","JSON","1","0","11"
"32582","1727618","CSS","1","0","9"
"32582","1727618","HTML","1","0","8"
"32582","1727618","Ignored","112","0","0"
"36131","1712173","JSON","8","0","8504"
"36131","1712173","TypeScript","31","279","1937"
"36131","1712173","Markdown","31","0","437"
"36131","1712173","YAML","3","0","76"
"36131","1712173","Ignored","1","0","0"
"41194","1727853","Kotlin","2174","3091","120394"
"41194","1727853","Swift","1456","11771","93140"
"41194","1727853","XML","1132","208","53923"
"41194","1727853","JSON","642","0","32538"
"41194","1727853","JavaScript","6","24","1737"
"41194","1727853","Markdown","38","0","1695"
"41194","1727853","YAML","16","13","1058"
"41194","1727853","CSS","4","47","533"
"41194","1727853","Shell Script","15","41","314"
"41194","1727853","TypeScript","5","22","249"
"41194","1727853","DOS Batch","2","0","137"
"41194","1727853","Groovy","2","1","131"
"41194","1727853","Java","20","12","130"
"41194","1727853","Encoding","1","0","126"
"41194","1727853","C","6","92","88"
"41194","1727853","Properties","8","0","80"
"41194","1727853","Ruby","2","0","61"
"41194","1727853","Terraform","3","0","59"
"41194","1727853","Text","1","0","33"
"41194","1727853","Objective C","1","10","22"
"41194","1727853","Ignored","257","0","0"
"44726","1727605","PHP","158","1736","9699"
"44726","1727605","Markdown","1","0","275"
"44726","1727605","YAML","16","104","257"
"44726","1727605","JSON","1","0","83"
"44726","1727605","Ignored","6","0","0"
"43003","1725747","Text","12","0","19408"
"43003","1725747","Scala","266","1052","7938"
"43003","1725747","Java","75","991","2747"
"43003","1725747","Apex","9","0","2001"
"43003","1725747","Markdown","21","0","1085"
"43003","1725747","HTML","7","2","737"
"43003","1725747","TSV","2","0","230"
"43003","1725747","CSV","4","0","157"
"43003","1725747","JSON","2","0","133"
"43003","1725747","Lisp","6","0","77"
"43003","1725747","DOS Batch","2","15","77"
"43003","1725747","Shell Script","16","11","47"
"43003","1725747","YAML","1","8","32"
"43003","1725747","Properties","15","0","15"
"43003","1725747","Ignored","223","0","0"
"35611","1727977","C","2","0","12"
"43909","1727921","CSV","13","0","27088"
"43909","1727921","PHP","343","6830","15898"
"43909","1727921","JSON","4","0","10466"
"43909","1727921","TSV","1","0","1744"
"43909","1727921","YAML","3","0","255"
"43909","1727921","JavaScript","3","0","105"
"43909","1727921","Markdown","2","0","68"
"43909","1727921","XML","1","2","35"
"43909","1727921","Text","6","0","2"
"43909","1727921","Ignored","18","0","0"
"39616","1727782","PHP","2273","226462","467532"
"39616","1727782","JavaScript","713","107269","317370"
"39616","1727782","CSS","785","34186","147393"
"39616","1727782","JSON","123","0","38601"
"39616","1727782","Text","30","0","9142"
"39616","1727782","HTML","18","233","1817"
"39616","1727782","Sass","14","65","976"
"39616","1727782","Markdown","5","0","899"
