"project_id","job_id","authors","active_authors","entities","commits"
"34834","863629","2","1","11","25"
"35745","1030521","1","1","2","4"
"24721","788232","5","2","462","84"
"43734","1544317","2","1","11","25"
"37441","986605","5","5","12","20"
"39798","1176166","2","2","11","8"
"34499","842111","17","5","77","218"
"34397","835711","2","1","11","25"
"39884","1183326","2","2","32","18"
"35678","1036984","1","1","2","4"
"34771","859306","17","5","77","218"
"37506","990261","1","1","60","6"
"34635","851751","2","1","103","39"
"35925","893024","2","1","103","39"
"36679","935073","2","1","11","25"
"36075","898835","2","1","103","39"
"36371","915188","2","1","103","39"
"43736","1544330","2","1","103","39"
"34698","855123","1","1","149","1"
"41065","1267745","1","1","1","1"
"41081","1268666","87","2","6813","18671"
"38293","1049305","2","1","103","39"
"41131","1797329","118","9","11919","20550"
"43866","1563758","1","1","9","3"
"39720","1166812","2","1","11","25"
"33332","775989","1","1","87","6"
"36307","910137","307","1","491","4925"
"15121","1317495","1","1","12","16"
"36118","900677","2","1","103","39"
"39647","1160900","1","1","23","16"
"38675","1077032","2","1","11","25"
"34004","811500","235","13","10004","8234"
"34482","840960","2","1","103","39"
"34410","836916","2","1","744","246"
"35260","872963","2","1","106","235"
"35511","886048","2","1","11","25"
"34048","813622","4","4","473","73"
"33639","796237","21","6","81","499"
"35990","896964","2","1","103","39"
"41034","1266095","253","44","9684","19330"
"41030","1266165","87","2","6813","18671"
"46194","1770597","1","1","487","1"
"35380","879180","307","1","491","4925"
"36813","943267","2","1","103","39"
"42939","1456814","576","58","7938","9470"
"40477","1231533","2","1","103","39"
"39764","1170328","2","1","103","39"
"39366","1176652","90","3","15205","15172"
"41399","1285538","125","15","44850","25321"
"37573","995907","352","80","5832","9167"
"35671","1037421","1","1","2","4"
"46120","1766756","1","1","43","15"
"40653","1240008","2","1","11","25"
"37036","958106","2","1","103","39"
"36370","915182","2","1","11","25"
"36019","897690","2","1","103","39"
"35960","895073","89","3","660","3170"
"36462","919575","1","1","5","1"
"33568","792314","2","2","48","217"
"33408","780861","38","3","567","889"
"38202","1043738","2","1","103","39"
"33749","801240","2","2","12","8"
"33976","809943","262","33","3263","4188"
"35976","896487","18","1","78","220"
"34072","818368","45","7","1871","6593"
"36630","1797912","5","2","111","90"
