"project_id","job_id","authors","active_authors","entities","commits"
"44285","1727713","3","3","211","12"
"40898","1728071","13","3","1080","842"
"38831","1089514","2","1","103","39"
"36268","909452","2","1","11","25"
"24229","949803","22","11","750","378"
"35315","874827","2","1","103","39"
"14419","1728739","7","7","63","147"
"36094","900053","2","1","103","39"
"41539","1300189","2","1","11","25"
"28930","1727935","10","3","395","706"
"35697","1727676","1","1","2","4"
"42714","1728094","1","1","270","40"
"29456","899576","14","14","1095","244"
"42862","1451489","2","1","11","25"
"33033","903181","28","5","593","486"
"35216","871519","2","1","11","25"
"39009","1099386","2","1","103","39"
"29459","897953","4","4","214","146"
"41613","1306081","2","1","103","39"
"43719","1727955","14","1","326","254"
"34403","835755","2","1","103","39"
"14421","1728486","6","6","164","156"
"40899","1728981","4","3","89","11"
"45449","1720421","2","1","103","39"
"43315","1664537","8","3","1175","1409"
"33625","957155","20","14","15707","8077"
"39656","1727666","2","2","18","38"
"42023","1351376","2","1","103","39"
"38110","1508243","23","3","860","1602"
"43692","1541803","2","1","103","39"
"38321","1051894","2","1","103","39"
"39159","1114339","2","1","103","39"
"36021","897712","2","1","103","39"
"34855","864864","2","1","11","25"
"43288","1497559","2","1","103","39"
"40632","1728119","20","1","261","76"
"34211","824505","2","1","11","25"
"21094","1728299","207","8","175814","28394"
"29333","1728685","14","1","3290","706"
"36455","918458","2","1","103","39"
"34276","826383","2","1","103","39"
"35225","871574","2","1","103","39"
"34732","856286","2","1","103","39"
"34652","853292","2","1","11","25"
"44723","1661775","2","1","103","39"
"35611","1727977","1","1","2","4"
"35237","872297","2","1","11","25"
"37091","961725","2","1","103","39"
"45052","1726368","14","6","461","1098"
"35106","882379","32","5","175","566"
"36545","1645802","220","67","25070","14367"
"31934","1644518","53","3","523","1438"
"29793","1727722","9","4","456","352"
"35104","884999","28","3","97","135"
"42184","1728156","1","1","18","4"
"37034","958098","2","1","11","25"
"35922","893012","2","1","11","25"
"35836","891163","2","1","11","25"
"34253","1727505","6","3","1539","4072"
"34451","839022","2","1","11","25"
"38567","1069569","0","0","0","0"
"13879","1176821","84","14","1702","1988"
"35256","872903","2","1","11","25"
"43631","1535506","2","1","103","39"
"28645","880653","56","22","2993","2618"
"39358","1728688","2","2","15","23"
"32876","800931","1","1","1","2"
"28607","890639","119","19","3990","5047"
"42183","1374471","2","1","103","39"
"28602","914423","36","21","1716","908"
"36060","898592","2","1","11","25"
"34409","1727576","2","1","656","922"
"26154","1728482","4","4","473","1475"
"35757","1718452","1","1","2","4"
"34672","854498","2","1","11","25"
"31941","1642546","58","4","226","529"
"24293","1177699","32","8","1535","2767"
"32215","1003409","981","27","3746","9012"
"29829","864636","6","6","2124","1944"
"27716","887488","112","36","9872","8872"
"35637","1728692","1","1","2","4"
"31565","1727973","78","7","54027","6725"
"35675","1728037","1","1","2","4"
"28605","1728640","13","6","5043","3120"
"43764","1549069","2","1","103","39"
"29400","1727872","11","6","1812","615"
"39745","1169133","2","1","103","39"
"36156","902999","2","1","11","25"
"42004","1349143","2","1","103","39"
"13099","1176306","76","10","9725","10691"
"35770","1727976","1","1","2","4"
"45272","1728325","4","4","138","26"
"39684","1164805","2","1","103","39"
"36989","956021","2","1","103","39"
"36008","897576","2","1","103","39"
"13677","1176011","45","14","495","485"
"36248","908267","2","1","11","25"
"27717","887489","53","22","2893","2356"
"33452","1728353","5","5","309","205"
"42393","1400468","2","1","11","25"
"36967","954556","2","1","103","39"
"38138","1039217","2","1","103","39"
"38883","1727511","5","1","178","115"
"35341","875214","1017","26","3892","9475"
"33391","1421139","17","9","3260","6665"
"31825","931531","54","7","1685","577"
"28626","1727717","46","10","848","833"
"40264","1727926","36","3","1543","540"
"6805","1728053","85","20","3412","22604"
"41352","1279887","2","1","103","39"
"40251","1211822","2","1","103","39"
"23985","1248588","130","70","17568","45052"
"36493","921834","2","1","11","25"
"9985","1728181","26","9","4727","16696"
"45409","1727889","12","2","1101","3711"
"35331","875005","2","1","11","25"
"38115","1505470","121","17","9066","21480"
"35589","888952","2","1","103","39"
"42332","1701007","8","2","1096","3690"
"28494","799480","66","30","2416","3134"
"24296","1178509","39","12","1197","2702"
"29878","1728585","7","2","151","183"
"35583","888912","2","1","11","25"
"38170","1041615","2","1","103","39"
"42953","1457669","2","1","103","39"
"35854","891863","2","1","11","25"
"36784","942182","2","1","11","25"
"35652","1728011","1","1","2","4"
"38623","1728415","4","3","151","68"
"37544","1027860","10","5","252","107"
"35865","891962","2","1","103","39"
"45133","1727848","30","7","23421","12780"
"36197","906198","2","1","11","25"
"29224","945724","2","1","282","497"
"37648","1000508","2","1","11","25"
"34013","889147","1","1","84","12"
"38492","1066867","1","1","69","9"
"34426","838128","2","1","11","25"
"43666","1539852","2","1","103","39"
"25262","1727997","6","1","464","415"
"39973","1728029","5","2","53","215"
"30984","1177005","6","5","126","30"
"13084","1176706","78","30","3739","4047"
"15850","1176234","21","7","267","516"
"35438","883443","2","1","103","39"
"39957","1187051","2","1","103","39"
"37331","978965","2","1","11","25"
"40897","1727855","16","3","331","445"
"35336","875050","2","1","103","39"
"31657","1314747","48","7","2421","7196"
"33673","829472","6","6","276","668"
"33281","1728252","30","2","1286","1557"
"35528","1729020","10","6","2637","1885"
"34479","840952","2","1","11","25"
"32163","891691","33","20","588","1040"
"32585","1728048","10","5","1354","951"
"42646","1727462","60","7","4393","8750"
"44864","1728656","21","11","1209","2386"
"37542","1027862","23","5","318","240"
"39680","1164778","2","1","11","25"
"42685","1431220","2","1","103","39"
"37716","1725908","12","3","259","509"
"41266","1275643","2","1","103","39"
"43044","1728035","3","2","67","53"
"43345","1727604","143","13","17161","38904"
"38467","1065522","2","1","103","39"
"30160","812703","221","19","4930","9004"
"40634","1727721","5","1","35","11"
"31564","1728136","1899","78","71749","198436"
"42816","1443895","2","1","103","39"
"45067","1727899","6","3","971","1443"
"16085","1727860","12","8","4301","5435"
"35277","873798","2","1","11","25"
"35615","1728356","1","1","2","4"
"35201","871342","2","1","11","25"
"16581","1176038","118","10","1415","2893"
